"Symbol","Company","Industry","Series","Face Value(Rs.)","Purpose","Ex-Date","Record Date","BC Start Date","BC End Date","No Delivery Start Date","No Delivery End Date"
"PRIMESECU","Prime Securities Limited","-","EQ","5"," Annual General Meeting","19-Sep-2019","-","21-Sep-2019","27-Sep-2019","-","-"
"PVP","PVP Ventures Limited","-","EQ","10"," Annual General Meeting","19-Sep-2019","-","23-Sep-2019","27-Sep-2019","-","-"
"RADAAN","Radaan Mediaworks India Limited","-","EQ","2"," Annual General Meeting","19-Sep-2019","-","22-Sep-2019","28-Sep-2019","-","-"
"RADICO","Radico Khaitan Limited","-","EQ","2"," Annual General Meeting/Dividend - Rs 1.20 Per Sh","19-Sep-2019","-","21-Sep-2019","26-Sep-2019","-","-"
"RAJTV","Raj Television Network Limited","-","EQ","5"," Dividend - Rs 0.10 Per Share","19-Sep-2019","20-Sep-2019","-","-","-","-"
"POWERMECH","Power Mech Projects Limited","-","EQ","10"," Annual General Meeting/Dividend - Re 1 Per Share","19-Sep-2019","-","23-Sep-2019","25-Sep-2019","-","-"
"PRADIP","Pradip Overseas Limited","-","EQ","10"," Annual General Meeting","19-Sep-2019","-","23-Sep-2019","30-Sep-2019","-","-"
"SALASAR","Salasar Techno Engineering Limited","-","EQ","10"," Dividend - Rs 1.50 Per Share","19-Sep-2019","-","21-Sep-2019","28-Sep-2019","-","-"
"SAMBHAAV","Sambhaav Media Limited","-","EQ","1"," Annual General Meeting","19-Sep-2019","-","21-Sep-2019","27-Sep-2019","-","-"
"SANGAMIND","Sangam (India) Limited","-","EQ","10"," Annual General Meeting/Dividend - Re 1 Per Share","19-Sep-2019","-","23-Sep-2019","30-Sep-2019","-","-"
"SANGINITA","Sanginita Chemicals Limited","-","EQ","10"," Annual General Meeting","19-Sep-2019","-","21-Sep-2019","28-Sep-2019","-","-"
"SHYAMTEL","Shyam Telecom Limited","-","EQ","10"," Annual General Meeting","19-Sep-2019","-","22-Sep-2019","28-Sep-2019","-","-"
"SMLISUZU","SML Isuzu Limited","-","EQ","10"," Annual General Meeting/Dividend - Rs 3 Per Share","19-Sep-2019","-","21-Sep-2019","30-Sep-2019","-","-"
"SMSLIFE","SMS Lifesciences India Limited","-","EQ","10"," Dividend - Rs 1.50 Per Share","19-Sep-2019","-","23-Sep-2019","30-Sep-2019","-","-"
"SMSPHARMA","SMS Pharmaceuticals Limited","-","EQ","1"," Dividend - Rs 0.25 Per Share","19-Sep-2019","-","23-Sep-2019","30-Sep-2019","-","-"
"SIMPLEXINF","Simplex Infrastructures Limited","-","EQ","2"," Dividend - Rs 0.50 Per Share","19-Sep-2019","-","21-Sep-2019","30-Sep-2019","-","-"
"SJVN","SJVN Limited","-","EQ","10"," Annual General Meeting/Dividend - Rs 0.65 Per Share","19-Sep-2019","-","21-Sep-2019","27-Sep-2019","-","-"
"SPENTEX","Spentex Industries Limited","-","EQ","10"," Annual General Meeting","19-Sep-2019","-","21-Sep-2019","26-Sep-2019","-","-"
"SPLIL","SPL Industries Limited","-","EQ","10"," Annual General Meeting","19-Sep-2019","-","21-Sep-2019","27-Sep-2019","-","-"
"TNTELE","Tamilnadu Telecommunication Limited","-","EQ","10"," Annual General Meeting","19-Sep-2019","-","21-Sep-2019","27-Sep-2019","-","-"
"TPLPLASTEH","TPL Plastech Limited","-","EQ","10"," Annual General Meeting/Dividend - Rs 3.50 Per Share","19-Sep-2019","-","21-Sep-2019","28-Sep-2019","-","-"
"UCALFUEL","Ucal Fuel Systems Limited","-","EQ","10"," Dividend - Rs 9 Per Share","19-Sep-2019","-","21-Sep-2019","30-Sep-2019","-","-"
"TECHNOE","Techno Electric & Engineering Company Limited","-","EQ","2"," Annual General Meeting","19-Sep-2019","-","23-Sep-2019","28-Sep-2019","-","-"
"TFL","Transwarranty Finance Limited","-","EQ","10"," Annual General Meeting","19-Sep-2019","-","21-Sep-2019","27-Sep-2019","-","-"
"TIMETECHNO","Time Technoplast Limited","-","EQ","1"," Annual General Meeting/Dividend - Rs 0.90 Per Share","19-Sep-2019","-","21-Sep-2019","28-Sep-2019","-","-"
"VAKRANGEE","Vakrangee Limited","-","EQ","1"," Dividend - Rs 0.25 Per Share","19-Sep-2019","-","21-Sep-2019","25-Sep-2019","-","-"
"VALECHAENG","Valecha Engineering Limited","-","EQ","10"," Annual General Meeting","19-Sep-2019","-","23-Sep-2019","30-Sep-2019","-","-"
"VENKEYS","Venky's (India) Limited","-","EQ","10"," Dividend - Rs 8 Per Share","19-Sep-2019","-","21-Sep-2019","27-Sep-2019","-","-"
"VETO","Veto Switchgears And Cables Limited","-","EQ","10"," Annual General Meeting","19-Sep-2019","-","22-Sep-2019","28-Sep-2019","-","-"
"VIJIFIN","Viji Finance Limited","-","EQ","1"," Annual General Meeting","19-Sep-2019","-","21-Sep-2019","27-Sep-2019","-","-"
"VIKASECO","Vikas EcoTech Limited","-","EQ","1"," Dividend - Rs 0.05 Per Sh","19-Sep-2019","-","21-Sep-2019","30-Sep-2019","-","-"
"VIKASPROP","Vikas Proppant & Granite Limited","-","EQ","1"," Annual General Meeting","19-Sep-2019","-","22-Sep-2019","28-Sep-2019","-","-"
"VIKASWSP","Vikas WSP Limited","-","EQ","1"," Annual General Meeting","19-Sep-2019","-","22-Sep-2019","28-Sep-2019","-","-"
"VISUINTL","Visu International Limited","-","EQ","10"," Annual General Meeting","19-Sep-2019","-","22-Sep-2019","28-Sep-2019","-","-"
"WEIZFOREX","Weizmann Forex Limited","-","EQ","10"," Annual General Meeting","19-Sep-2019","-","21-Sep-2019","27-Sep-2019","-","-"
"ZENITHBIR","Zenith Birla (India) Limited","-","EQ","10"," Annual General Meeting","19-Sep-2019","-","21-Sep-2019","27-Sep-2019","-","-"
"VADILALIND","Vadilal Industries Limited","-","EQ","10"," Dividend - Rs 1.25 Per Share","19-Sep-2019","-","21-Sep-2019","30-Sep-2019","-","-"
"SURYALAXMI","Suryalakshmi Cotton Mills Limited","-","EQ","10"," Annual General Meeting","19-Sep-2019","-","21-Sep-2019","30-Sep-2019","-","-"
"STERTOOLS","Sterling Tools Limited","-","EQ","2"," Annual General Meeting","19-Sep-2019","-","21-Sep-2019","27-Sep-2019","-","-"
"SUMEETINDS","Sumeet Industries Limited","-","EQ","10"," Annual General Meeting","19-Sep-2019","-","23-Sep-2019","30-Sep-2019","-","-"
"JAICORPLTD","Jai Corp Limited","-","EQ","1"," Dividend - Rs 0.50 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"PFOCUS","Prime Focus Limited","-","EQ","1"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"PFS","PTC India Financial Services Limited","-","EQ","10"," Annual General Meeting/Dividend - Rs 0.8 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"JUMPNET","Jump Networks Limited","-","EQ","5"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"PARAGMILK","Parag Milk Foods Limited","-","EQ","10"," Annual General Meeting/Dividend - Re 1 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"NECCLTD","North Eastern Carrying Corporation Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"SASTASUNDR","Sastasundar Ventures Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"SATIA","Satia Industries Limited","-","EQ","1"," Annual General Meeting/Dividend - Rs 1.50 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"PTC","PTC India Limited","-","EQ","10"," Annual General Meeting/Dividend - Rs 4 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"RICOAUTO","Rico Auto Industries Limited","-","EQ","1"," Annual General Meeting/Dividend - Rs 0.40 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"SGL","STL Global Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"SABEVENTS","Sab Events & Governance Now Media Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"SABTN","Sri Adhikari Brothers Television Network Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"KANANIIND","Kanani Industries Limited","-","EQ","1"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"SUNDARAM","Sundaram Multi Pap Limited","-","EQ","1"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"SUNTECK","Sunteck Realty Limited","-","EQ","1"," Annual General Meeting/Dividend - Rs 1.5 Per Share","20-Sep-2019","-","24-Sep-2019","27-Sep-2019","-","-"
"TANLA","Tanla Solutions Limited","-","EQ","1"," Annual General Meeting/Dividend -Rs 0.35 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"TARMAT","Tarmat Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"PNCINFRA","PNC Infratech Limited","-","EQ","2"," Annual General Meeting/Dividend - Rs 0.50 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"PODDARHOUS","Poddar Housing and Development Limited","-","EQ","10"," Annual General Meeting/Dividend - Rs 1.50 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"RAJASPETRO","Rajasthan Petro Synthetics Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"RAJESHEXPO","Rajesh Exports Limited","-","EQ","1"," Dividend - Re 1 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"RAJOIL","Raj Oil Mills Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"RAJSREESUG","Rajshree Sugars & Chemicals Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"RAJVIR","Rajvir Industries Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"PPL","Prakash Pipes Limited","-","EQ","10"," Dividend - Rs 1.2 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"PRABHAT","Prabhat Dairy Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"PRAENG","Prajay Engineers Syndicate Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"PRAKASH","Prakash Industries Limited","-","EQ","10"," Dividend - Rs 1.20 Per Share","20-Sep-2019","-","24-Sep-2019","28-Sep-2019","-","-"
"SIGIND","Signet Industries Limited","-","EQ","10"," Annual General Meeting/Dividend - Rs 0.50 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"SKIL","SKIL Infrastructure Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"SOMICONVEY","Somi Conveyor Beltings Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"SPICEJET","SPICEJET LTD","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"SPYL","Shekhawati Poly-Yarn Limited","-","EQ","1"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"UNIPLY","Uniply Industries Limited","-","EQ","2"," Annual General Meeting/Dividend - Rs 0.24 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"TVVISION","TV Vision Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"SRHHYPOLTD","Sree Rayalaseema Hi-Strength Hypo Limited","-","EQ","10"," Annual General Meeting/Dividend - Rs 2.00 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"SRSLTD","SRS Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"THOMASCOTT","Thomas Scott (India) Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"VASWANI","Vaswani Industries Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"VENUSREM","Venus Remedies Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"VIMALOIL","Vimal Oil & Foods Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"VISESHINFO","Visesh Infotecnics Limited","-","EQ","1"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"VIVIDHA","Visagar Polytex Limited","-","EQ","1"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"WANBURY","Wanbury Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"WEBELSOLAR","Websol Energy System Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"SSWL","Steel Strips Wheels Limited","-","EQ","10"," Annual General Meeting/Dividend - Rs 4 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"STEELXIND","STEEL EXCHANGE INDIA LIMITED","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"SYNCOM","Syncom Healthcare Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"URJA","Urja Global Limited","-","EQ","1"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"BANG","Bang Overseas Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"BURNPUR","Burnpur Cement Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"ASIANTILES","Asian Granito India Limited","-","EQ","10"," Annual General Meeting/Dividend - Rs 0.60 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"ATULAUTO","Atul Auto Limited","-","EQ","5"," Annual General Meeting/Dividend - Rs 1.25 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"AUSTRAL","Austral Coke & Projects Limited","-","EQ","1"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"82GS2025","GOVERNMENT OF INDIA","-","GS","100"," Interest Payment","20-Sep-2019","23-Sep-2019","-","-","-","-"
"5PAISA","5Paisa Capital Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"AKSHARCHEM","AksharChem India Limited","-","EQ","10"," Annual General Meeting/Dividend - Rs 3.5 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"AKSHOPTFBR","Aksh Optifibre Limited","-","EQ","5"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"ALCHEM","Alchemist Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"BGLOBAL","Bharatiya Global Infomedia Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"CELEBRITY","Celebrity Fashions Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"BIGBLOC","Bigbloc Construction Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"ADROITINFO","Adroit Infotech Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"AGARIND","Agarwal Industrial Corporation Limited","-","EQ","10"," Annual General Meeting/Dividend - Rs 1.80 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"CAPTRUST","Capital Trust Limited","-","EQ","10"," Annual General Meeting/Dividend - Rs 0.50 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"CCCL","Consolidated Construction Consortium Limited","-","EQ","2"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"GOENKA","Goenka Diamond and Jewels Limited","-","EQ","1"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","27-Sep-2019","-","-"
"DCM","DCM  Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"DCW","DCW Limited","-","EQ","2"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"GAL","Gyscoal Alloys Limited","-","EQ","1"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"CMICABLES","CMI Limited","-","EQ","10"," Annual General Meeting/Dividend - Re 1 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"ARENTERP","Rajdarshan Industries Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"ARIHANT","Arihant Foundations & Housing Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"ARSHIYA","Arshiya Limited","-","EQ","2"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"AMBICAAGAR","Ambica Agarbathies & Aroma industries Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"ANANTRAJ","Anant Raj Limited","-","EQ","2"," Annual General Meeting/Dividend - Rs 0.24 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"DALALSTCOM","DSJ Communications Limited","-","EQ","1"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"ENERGYDEV","Energy Development Company Limited","-","EQ","10"," Dividend - Rs 0.50 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"GUFICBIO","Gufic Biosciences Limited","-","EQ","1"," Annual General Meeting/Dividend - Rs 0.05 Per Equity Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"GUJRAFFIA","Gujarat Raffia Industries Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"CONFIPET","Confidence Petroleum India Limited","-","EQ","1"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"CREATIVEYE","Creative Eye Limited","-","EQ","5"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"GOODLUCK","Goodluck India Limited","-","EQ","2"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"EKC","Everest Kanto Cylinder Limited","-","EQ","2"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"GENUSPAPER","Genus Paper & Boards Limited","-","EQ","1"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"GLOBOFFS","Global Offshore Services Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","27-Sep-2019","-","-"
"GMDCLTD","Gujarat Mineral Development Corporation Limited","-","EQ","2"," Annual General Meeting/Dividend - Rs 2 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"HITECHCORP","Hitech Corporation Limited","-","EQ","10"," Annual General Meeting/Dividend - Rs 0.90 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"INDTERRAIN","Indian Terrain Fashions Limited","-","EQ","2"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"HMT","HMT Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"DSSL","Dynacons Systems & Solutions Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"DAAWAT","LT Foods Limited","-","EQ","1"," Dividend - Rs 0.15 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"MADHAV","Madhav Marbles and Granites Limited","-","EQ","10"," Annual General Meeting/Dividend - Rs 0.25 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"MAHAPEXLTD","Maha Rashtra Apex Corporation Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"NAHARINDUS","Nahar Industrial Enterprises Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"LIBAS","Libas Designs Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"MODIRUBBER","Modi Rubber Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"MOLDTECH","Mold-Tek Technologies Limited","-","EQ","2"," Annual General Meeting/Dividend - Rs 0.60 Per Equity Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"MOLDTKPAC","Mold-Tek Packaging Limited","-","EQ","5"," Annual General Meeting/Dividend - Rs 2 Per Equity Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"KERNEX","Kernex Microsystems (India) Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"KILITCH","Kilitch Drugs (India) Limited","-","EQ","10"," Annual General Meeting/Dividend - Rs 0.5 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"KNRCON","KNR Constructions Limited","-","EQ","2"," Annual General Meeting/Dividend - Rs 0.40 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"KOHINOOR","Kohinoor Foods Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"IRB","IRB Infrastructure Developers Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","26-Sep-2019","-","-"
"INTENTECH","Intense Technologies Limited","-","EQ","2"," Dividend - Rs 0.20 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"IIFL","IIFL Finance Limited","-","EQ","2"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"METALFORGE","Metalyst Forgings Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","28-Sep-2019","-","-"
"PBAINFRA","PBA Infrastructure Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","28-Sep-2019","-","-"
"ORISSAMINE","The Orissa Minerals Development Company Limited","-","EQ","1"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","25-Sep-2019","-","-"
"PALREDTEC","Palred Technologies Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"KAUSHALYA","Kaushalya Infrastructure Development Corporation Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"KAVVERITEL","Kavveri Telecom Products Limited","-","EQ","10"," Annual General Meeting","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"JAGSNPHARM","Jagsonpal Pharmaceuticals Limited","-","EQ","5"," Annual General Meeting/Dividend - Rs 0.25 Per Share","20-Sep-2019","-","24-Sep-2019","30-Sep-2019","-","-"
"597GS2025","GOVERNMENT OF INDIA","-","GS","100"," Interest Payment","23-Sep-2019","24-Sep-2019","-","-","-","-"
"STAMPEDE","Stampede Capital Limited","-","EQ","1"," Annual General Meeting","23-Sep-2019","-","25-Sep-2019","28-Sep-2019","-","-"
"BFINVEST","BF Investment Limited","-","EQ","5"," Annual General Meeting","23-Sep-2019","-","25-Sep-2019","25-Sep-2019","-","-"
"CEBBCO","Commercial Engineers & Body Builders Co Limited","-","EQ","10"," Annual General Meeting","23-Sep-2019","-","25-Sep-2019","28-Sep-2019","-","-"
"BEARDSELL","Beardsell Limited","-","EQ","2"," Annual General Meeting/Dividend - Rs 0.24 Per Share","23-Sep-2019","-","25-Sep-2019","30-Sep-2019","-","-"
"DCMFINSERV","DCM Financial Services Limited","-","EQ","10"," Annual General Meeting","23-Sep-2019","-","25-Sep-2019","30-Sep-2019","-","-"
"CNOVAPETRO","CIL Nova Petrochemicals Limited","-","EQ","10"," Annual General Meeting","23-Sep-2019","-","25-Sep-2019","27-Sep-2019","-","-"
"CEREBRAINT","Cerebra Integrated Technologies Limited","-","EQ","10"," Annual General Meeting","23-Sep-2019","-","25-Sep-2019","25-Sep-2019","-","-"
"CONSOFINVT","Consolidated Finvest & Holdings Limited","-","EQ","10"," Annual General Meeting","23-Sep-2019","-","25-Sep-2019","27-Sep-2019","-","-"
"GLOBALVECT","Global Vectra Helicorp Limited","-","EQ","10"," Annual General Meeting","23-Sep-2019","-","25-Sep-2019","26-Sep-2019","-","-"
"CYBERMEDIA","Cyber Media (India) Limited","-","EQ","10"," Annual General Meeting","23-Sep-2019","-","25-Sep-2019","30-Sep-2019","-","-"
"LYPSAGEMS","Lypsa Gems & Jewellery Limited","-","EQ","10"," Annual General Meeting","23-Sep-2019","-","25-Sep-2019","30-Sep-2019","-","-"
"PROSEED","Proseed India Limited","-","EQ","1"," Annual General Meeting","23-Sep-2019","-","25-Sep-2019","28-Sep-2019","-","-"
"IVC","IL&FS Investment Managers Limited","-","EQ","2"," Dividend - Rs 0.30 Per Share","23-Sep-2019","-","25-Sep-2019","30-Sep-2019","-","-"
"JAINSTUDIO","Jain Studios Limited","-","EQ","10"," Annual General Meeting","23-Sep-2019","-","25-Sep-2019","30-Sep-2019","-","-"
"JPOLYINVST","Jindal Poly Investment and Finance Company Limited","-","EQ","10"," Annual General Meeting","23-Sep-2019","-","25-Sep-2019","27-Sep-2019","-","-"
"SCAPDVR","Stampede Capital Limited","-","EQ","1"," Annual General Meeting","23-Sep-2019","-","25-Sep-2019","28-Sep-2019","-","-"
"JINDALPHOT","Jindal Photo Limited","-","EQ","10"," Annual General Meeting","23-Sep-2019","-","25-Sep-2019","27-Sep-2019","-","-"
"RENUKA","Shree Renuka Sugars Limited","-","EQ","1"," Annual General Meeting","23-Sep-2019","-","25-Sep-2019","30-Sep-2019","-","-"
"SPCENET","Spacenet Enterprises India Limited","-","EQ","1"," Annual General Meeting","23-Sep-2019","-","25-Sep-2019","28-Sep-2019","-","-"
"VIVIMEDLAB","Vivimed Labs Limited","-","EQ","2"," Annual General Meeting","23-Sep-2019","-","25-Sep-2019","30-Sep-2019","-","-"
"601GS2028","GOVERNMENT OF INDIA","-","GS","100"," Interest Payment","23-Sep-2019","24-Sep-2019","-","-","-","-"
"AJMERA","Ajmera Realty & Infra India Limited","-","EQ","10"," Annual General Meeting/Dividend - Rs 3.3 Per Share","24-Sep-2019","-","26-Sep-2019","30-Sep-2019","-","-"
"AARVEEDEN","Aarvee Denims & Exports Limited","-","EQ","10"," Annual General Meeting","24-Sep-2019","-","26-Sep-2019","27-Sep-2019","-","-"
